,name,type,color,_igraph_index,id
244,24231,False,red,900,900
245,24324,False,red,908,908
246,24372,False,red,912,912
247,24382,False,red,913,913
248,2448,False,red,922,922
249,24541,False,red,931,931
250,24555,False,red,933,933
251,24571,False,red,935,935
252,24603,False,red,937,937
253,24632,False,red,940,940
254,24681,False,red,946,946
255,24697,False,red,947,947
256,24718,False,red,949,949
257,24754,False,red,952,952
258,24896,False,red,959,959
259,24984,False,red,964,964
260,25070,False,red,974,974
261,25114,False,red,978,978
262,25137,False,red,982,982
263,25278,False,red,992,992
264,25291,False,red,993,993
265,25362,False,red,995,995
266,25391,False,red,997,997
267,25462,False,red,1002,1002
268,25478,False,red,1005,1005
269,25495,False,red,1008,1008
270,25569,False,red,1011,1011
271,25595,False,red,1014,1014
272,25596,False,red,1015,1015
273,2560,False,red,1016,1016
274,25617,False,red,1018,1018
275,25618,False,red,1019,1019
276,25735,False,red,1034,1034
277,25803,False,red,1038,1038
278,25811,False,red,1040,1040
279,25821,False,red,1042,1042
280,25913,False,red,1048,1048
281,26084,False,red,1059,1059
282,26092,False,red,1060,1060
283,26192,False,red,1066,1066
284,26272,False,red,1072,1072
285,26287,False,red,1074,1074
286,26316,False,red,1075,1075
287,26385,False,red,1082,1082
288,26415,False,red,1086,1086
289,2656,False,red,1102,1102
290,26566,False,red,1103,1103
291,26621,False,red,1106,1106
292,26823,False,red,1118,1118
293,26923,False,red,1125,1125
294,27009,False,red,1134,1134
295,27028,False,red,1135,1135
296,27029,False,red,1136,1136
297,27041,False,red,1139,1139
298,27089,False,red,1146,1146
299,27142,False,red,1155,1155
300,2717,False,red,1159,1159
301,27260,False,red,1164,1164
302,27329,False,red,1170,1170
303,27459,False,red,1175,1175
304,27471,False,red,1177,1177
305,27532,False,red,1182,1182
306,27649,False,red,1195,1195
307,27674,False,red,1197,1197
308,27679,False,red,1198,1198
309,2768,False,red,1199,1199
310,27731,False,red,1206,1206
311,2774,False,red,1208,1208
312,27757,False,red,1211,1211
313,27809,False,red,1218,1218
314,27812,False,red,1220,1220
315,27871,False,red,1224,1224
316,27941,False,red,1232,1232
317,28107,False,red,1247,1247
318,28114,False,red,1248,1248
319,28149,False,red,1253,1253
320,28156,False,red,1254,1254
321,28219,False,red,1259,1259
322,28223,False,red,1260,1260
323,28322,False,red,1271,1271
324,28422,False,red,1282,1282
325,28484,False,red,1289,1289
326,28515,False,red,1292,1292
327,28518,False,red,1293,1293
328,28534,False,red,1296,1296
329,28570,False,red,1298,1298
330,28581,False,red,1301,1301
331,28671,False,red,1311,1311
332,2869,False,red,1312,1312
333,28707,False,red,1317,1317
334,28797,False,red,1325,1325
335,28842,False,red,1329,1329
336,28856,False,red,1332,1332
337,28893,False,red,1337,1337
338,29030,False,red,1345,1345
339,29047,False,red,1347,1347
340,29139,False,red,1356,1356
341,29197,False,red,1364,1364
342,29211,False,red,1369,1369
343,29257,False,red,1372,1372
344,29390,False,red,1386,1386
345,29485,False,red,1389,1389
346,29740,False,red,1409,1409
347,29861,False,red,1420,1420
348,29968,False,red,1436,1436
349,30026,False,red,1439,1439
350,30056,False,red,1442,1442
351,30188,False,red,1455,1455
352,30247,False,red,1458,1458
353,30261,False,red,1462,1462
354,30359,False,red,1467,1467
355,3044,False,red,1476,1476
356,3045,False,red,1477,1477
357,30553,False,red,1487,1487
358,30806,False,red,1510,1510
359,30813,False,red,1511,1511
360,30821,False,red,1514,1514
361,30966,False,red,1531,1531
362,31070,False,red,1535,1535
363,31088,False,red,1537,1537
364,31189,False,red,1543,1543
365,31203,False,red,1544,1544
366,31253,False,red,1548,1548
367,31392,False,red,1564,1564
368,31434,False,red,1569,1569
369,31554,False,red,1576,1576
370,31593,False,red,1582,1582
371,31616,False,red,1586,1586
